"","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"234","Detroit",70.2,35.48,53.45,67.02,59.3,131.62
"235","Darmstadt",70.17,30.69,51.13,53.91,66.6,145.86
"236","AnnArbor",70.01,45.26,58.07,69.31,62.97,163.57
"237","Ottawa",69.91,31.76,51.51,64.16,71.95,145.32
"238","Harrisburg",69.91,27.78,49.59,72.58,66.41,140.56
"239","NewcastleUponTyne",69.91,25.69,48.58,54.05,78.46,127.4
"240","Salem",69.81,32,51.58,70.61,68.39,106.58
"241","Dayton",69.76,21.96,46.71,73.53,62.38,114.2
"242","Barcelona",69.75,33.71,52.37,59.29,65.07,77.27
"243","Columbia",69.7,29.48,50.3,75.37,65.65,92.47
"244","Marseille",69.66,23.92,47.6,61.91,69.58,104.22
"245","Liverpool",69.53,24.96,48.04,52.24,78.55,116.18
"246","Hanover",69.47,22.04,46.59,58.88,64.04,160.86
"247","FortWayne",69.42,21.43,46.28,74.49,69.24,129.87
"248","DesMoines",69.37,31.23,50.97,73.45,63.64,125.85
"249","VirginiaBeach",69.33,37.42,53.94,68.92,71.08,151.73
"250","Spokane",69.26,26.97,48.86,70.06,64.46,135.55
"251","Bakersfield",69.2,29.09,49.86,71.91,64.38,120.54
"252","Montreal",69.18,26.68,48.69,68.65,67.17,120.29
"253","Gatineau",69.17,19.72,45.32,69.98,64.66,142.51
"254","Columbus",69.13,35.51,52.92,66.96,62.16,125.47
"255","Cincinnati",69.13,31.11,50.79,61.6,70.4,136.92
"256","KansasCity",69.05,29.33,49.89,68.17,63.04,135.76
"257","Belfast",68.77,23.7,47.04,61.07,79.19,103.27
"258","SanJuan",68.77,26.09,48.18,66.18,57.67,116.19
"259","Derby",68.68,21.48,45.92,58.52,71.55,110.83
"260","Lincoln",68.61,28.38,49.21,71.56,62.02,124.13
"261","Malta",68.44,26.6,48.26,54.11,69,72.13
"262","FortMyers",68.06,31.9,50.62,71.88,62.43,86.87
"263","Lexington",67.9,25.51,47.45,69.03,62.48,130.77
"264","FortWorth",67.81,35.29,52.12,66.57,65.5,142.22
"265","Omaha",67.8,30.43,49.78,69.41,62.64,134.51
"266","Madrid",67.63,33.41,51.13,56.59,70.41,96.36
"267","Surrey",67.37,33.36,50.97,65.23,61.6,93.78
