"","City","Cost.of.Living.Index","Rent.Index","Cost.of.Living.Plus.Rent.Index","Groceries.Index","Restaurant.Price.Index","Local.Purchasing.Power.Index"
"490","Valenzuela",31.23,3.82,18.01,32.44,12.95,31.9
"491","Islamabad",30.83,8.79,20.2,28.5,23.5,43.2
"492","Bangalore",30.34,9.76,20.41,31.47,20.23,100.26
"493","Tunis",30.06,7.39,19.13,29.49,18.19,34.32
"494","Thane",29.82,9.3,19.92,31.07,21.18,70.55
"495","Odesa",29.79,10.23,20.36,22.29,24.04,27.73
"496","Tbilisi",29.73,10.6,20.5,24.65,29.18,35.61
"497","Pune",29.66,7.95,19.19,30.75,21.4,99.44
"498","Lahore",29.53,6.67,18.5,26.83,26.39,51.44
"499","Pristina",29.25,9.38,19.67,25.97,22.78,64.57
"500","Chandigarh",29.04,6.47,18.15,29.4,20.18,68.83
"501","Ahmedabad",28.67,6.24,17.85,31.42,20.13,73.59
"502","Surat",28.66,4.69,17.1,31.97,19.84,57.84
"503","Chennai",28.42,7.12,18.14,31.17,18.26,72.34
"504","Goa",28.3,8.27,18.64,29.8,22.96,54.55
"505","Indore",28.06,4.66,16.78,27.74,17.77,50.42
"506","Kolkata",27.99,7.77,18.24,28.53,23.18,56.3
"507","Lucknow",27.55,4.9,16.62,27.25,18.76,76.1
"508","Kiev",27.52,12.43,20.24,21.96,22.01,37.48
"509","Jaipur",27.11,5.19,16.54,27.65,18.48,76.5
"510","Karachi",27.1,7.46,17.63,25.6,21.62,39.06
"511","Hyderabad",26.92,6.89,17.26,27.6,18.93,80.9
"512","Cairo",26.49,5.43,16.33,23.23,22.55,25.27
"513","Dnipropetrovsk",26.39,6.63,16.86,20.46,22.74,31.06
"514","Nagpur",26.23,4.96,15.97,26.55,18.73,95.19
"515","Bhopal",26.07,4.13,15.49,22.49,16.21,66.21
"516","Vadodara",25.59,4.01,15.18,27.85,16.02,80.63
"517","Mangalore",25.46,5.7,15.93,26.85,16.04,94.53
"518","Lviv",25.31,8.1,17.01,20.5,17.88,26.88
"519","Mysore",25.2,4.01,14.98,29.39,13.31,42.49
"520","Bhubaneswar",24.89,4.68,15.14,28.22,14.91,57.56
"521","Kharkiv",24.85,8.29,16.87,19.26,18.44,27.19
"522","Visakhapatnam",24.66,4.85,15.11,25.83,18.07,63.97
"523","Kochi",24.65,6.31,15.8,26.93,13.94,77.7
"524","Coimbatore",24.61,5.35,15.32,25.23,15.21,53.23
"525","Alexandria",23.78,4.34,14.4,23.19,17.66,23.75
"526","NaviMumbai",23.44,6.25,15.15,24.02,14.14,111.99
"527","Thiruvananthapuram",20.86,5.1,13.26,21.98,12.06,66.25
