"","City","Movehub.Rating","Purchase.Power","Health.Care","Pollution","Quality.of.Life","Crime.Rating","city_id"
"1","Caracas",65.18,11.25,44.44,83.45,8.61,85.7,1
"2","Johannesburg",84.08,53.99,59.98,47.39,51.26,83.93,2
"3","Fortaleza",80.17,52.28,45.46,66.32,36.68,78.65,3
"4","Saint Louis",85.25,80.4,77.29,31.33,87.51,78.13,4
"5","Mexico City",75.07,24.28,61.76,18.95,27.91,77.86,5
"6","Detroit",70.63,73.81,63.05,83.45,50.99,76.69,6
"7","Porto Alegre",70.46,19.07,51.01,86.16,31.87,76.46,7
"8","Noida",82.34,57.88,56.34,89.1,42.7,75,8
"9","Karachi",67.81,14.63,51.57,69.63,18.5,74.36,9
"10","Rotterdam",80.68,50.9,63.26,20.36,67.77,74.27,10
"11","Nairobi",71.12,15.82,61.34,39.16,14.36,71.88,11
"12","Las Vegas",84.88,80.46,66.52,59.73,60.5,70.57,12
"13","Kuala Lumpur",77.88,37.09,56.21,69.65,42.4,68.91,13
"14","Philadelphia",83.31,68.77,54.17,38.64,65.53,68.58,14
"15","Cape Town",87.95,60.36,71.67,75.98,78.73,68.06,15
"16","Pretoria",80.56,46.74,71.11,70.13,61.44,68.06,16
"17","Rio De Janeiro",73.44,22.13,61.67,84.51,21.32,67.93,17
"18","Manila",68.31,14.8,80.56,65.22,13.14,66.36,18
"19","Sao Paulo",75.4,24.24,63.79,72.04,30.57,66.31,19
"20","Los Angeles",86.86,62.75,68.61,75.2,62.82,65.74,20
"21","Gurgaon",77.88,37.08,77.18,27.78,42.77,65.51,21
"22","Lima",73.19,23.22,53.7,58.49,22.67,65.31,22
"23","Miami",84.43,57.79,64.44,22.45,74.77,64.85,23
"24","Lodz",73.32,26.37,53.21,37.21,46.29,64.51,24
"25","Rome",79.07,32.72,61.64,19.84,26.8,62.34,25
"26","Santo Domingo",74.6,28.82,62.5,18.59,41.88,62.19,26
"27","Houston",85.24,71.96,79.44,65.21,74.08,61.72,27
"28","Tampa",84.27,75.72,56.94,49.89,80.75,60.73,28
"29","Lagos",72.47,14.91,62.04,26.63,19.48,60.44,29
"30","Glasgow",84.23,85,90.55,0,80,60,30
"31","Dallas",84.71,76.18,69.99,83.89,80.56,59.9,31
"32","Buenos Aires",77.29,29.29,79.17,47.26,39.78,59.46,32
"33","Dhaka",71.58,21.32,20.83,62.14,13.48,59.06,33
"34","Baltimore",84.28,78.78,72.08,77.98,82,58.85,34
"35","Athens",76.78,26.05,46.11,27.44,30.57,57.49,35
"36","Saint Petersburg",73.1,24.82,46.34,77.98,25.97,56.96,36
"37","Naples",76.27,35.38,41.67,12.01,42.92,56.67,37
"38","Milan",81.9,43.43,71.36,22.09,40.8,56.2,38
"39","Atlanta",84.92,80.83,61.11,63.09,80.51,56.04,39
"40","Orlando",84.39,71.07,76.01,70.75,82.33,55.07,40
"41","Chicago",83.01,66.77,62.92,22.98,80.71,54.52,41
"42","Geneva",83.27,61.22,74.88,29.43,82.76,54.36,42
"43","Kiev",69.98,18.88,36.48,67.36,24.05,54.19,43
"44","Tehran",72.13,18.09,43.98,87.62,14.33,54.16,44
"45","Brussels",84.8,54.41,81.35,6.79,65.42,53.79,45
"46","Paris",95.92,47.08,83.33,59.18,52.62,53.75,46
"47","Kharkiv",68.99,17.11,35.06,67.05,30.76,53.75,47
"48","Moscow",76.35,24.94,42.3,30.03,18.65,53.19,48
"49","Delhi",77.12,34.39,74.99,73.03,42.45,52.56,49
"50","Lahore",67.32,12.45,48.94,30.55,28.52,51.98,50
"51","Hanoi",66.77,12.22,20.83,24.02,5.29,51.81,51
"52","Cordoba",73.76,27.56,75.24,48.76,47.68,51.56,52
"53","Washington",81.74,56.61,64.44,30.55,76.92,51.43,53
"54","San Antonio",83.76,74.78,60.97,59.19,84.88,51.41,54
"55","Christchurch",83.36,47.1,83.86,22.2,76.6,51.3,55
"56","Bangalore",77.92,38.67,69.38,80.94,52.11,51.03,56
"57","Belo Horizonte",71.79,21.77,57.26,59.73,36.26,50.99,57
"58","Auckland",86.43,49.02,71.85,30.03,66.98,50.38,58
"59","Montevideo",71.69,21.56,59.72,31.72,44.63,50.16,59
"60","London",100,53.17,69.53,57.95,47.89,50.14,60
"61","Perth",95.38,62.11,80.56,23.53,74.62,50.01,61
"62","Muscat",86.3,77.16,62.5,64.65,58.99,50,62
